Entry	Entry Name	Protein names	Organism	EC number	UniRef90	Species	Enzyme
A0A6L8SWX8	A0A6L8SWX8_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia wexlerae	1.1.1.25	UniRef90_A0A174K3D1	Blautia_wexlerae	aroE
A0A6L8T0N0	A0A6L8T0N0_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia wexlerae	1.1.1.25	UniRef90_A0A174B1L5	Blautia_wexlerae	aroE
A0A564WW49	A0A564WW49_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia wexlerae	1.1.1.25	UniRef90_A0A174R530	Blautia_wexlerae	aroE
A0A174DE89	A0A174DE89_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Blautia wexlerae	2.7.1.71	UniRef90_A0A174NIX1	Blautia_wexlerae	aroK_L
A0A564WU11	A0A564WU11_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Blautia wexlerae	2.7.1.71	UniRef90_A0A174P2W1	Blautia_wexlerae	aroK_L
A0A174NIX1	A0A174NIX1_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Blautia wexlerae	2.7.1.71	UniRef90_A0A174NIX1	Blautia_wexlerae	aroK_L
A0A6L8XVU2	A0A6L8XVU2_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Blautia wexlerae	2.7.1.71	UniRef90_A0A174LZL9	Blautia_wexlerae	aroK_L
A0A174CFC7	A0A174CFC7_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Blautia wexlerae	2.7.1.71	UniRef90_A0A174P2W1	Blautia_wexlerae	aroK_L
A0A174P2W1	A0A174P2W1_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Blautia wexlerae	2.7.1.71	UniRef90_A0A174P2W1	Blautia_wexlerae	aroK_L
A0A564WWJ4	A0A564WWJ4_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Blautia wexlerae	2.7.1.71	UniRef90_A0A174LZL9	Blautia_wexlerae	aroK_L
A0A6L8XUF0	A0A6L8XUF0_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Blautia wexlerae	2.7.1.71	UniRef90_A0A174NIX1	Blautia_wexlerae	aroK_L
A0A174GS33	A0A174GS33_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Blautia wexlerae	2.7.1.71	UniRef90_A0A174LZL9	Blautia_wexlerae	aroK_L
A0A174LZL9	A0A174LZL9_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Blautia wexlerae	2.7.1.71	UniRef90_A0A174LZL9	Blautia_wexlerae	aroK_L
A0A6L8T0P7	A0A6L8T0P7_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Blautia wexlerae	2.7.1.71	UniRef90_A0A174LZL9	Blautia_wexlerae	aroK_L
A0A174DS82	A0A174DS82_9FIRM	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Blautia wexlerae	2.5.1.19	UniRef90_A0A174DS82	Blautia_wexlerae	aroA
A0A174LX65	A0A174LX65_9FIRM	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Blautia wexlerae	2.5.1.19	UniRef90_A0A174DS82	Blautia_wexlerae	aroA
A0A6L8T0S8	A0A6L8T0S8_9FIRM	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Blautia wexlerae	2.5.1.19	UniRef90_A0A174DS82	Blautia_wexlerae	aroA
A0A564WWG1	A0A564WWG1_9FIRM	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Blautia wexlerae	2.5.1.19	UniRef90_A0A174DS82	Blautia_wexlerae	aroA
A0A6L8XVR4	A0A6L8XVR4_9FIRM	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Blautia wexlerae	2.5.1.19	UniRef90_A0A174DS82	Blautia_wexlerae	aroA
A0A6L8SZE3	A0A6L8SZE3_9FIRM	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Blautia wexlerae	4.2.3.5	UniRef90_A0A174P918	Blautia_wexlerae	aroC
A0A174DWY9	A0A174DWY9_9FIRM	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Blautia wexlerae	4.2.3.5	UniRef90_A0A174P918	Blautia_wexlerae	aroC
A0A174P918	A0A174P918_9FIRM	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Blautia wexlerae	4.2.3.5	UniRef90_A0A174P918	Blautia_wexlerae	aroC
A0A2A7BE36	A0A2A7BE36_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii	2.5.1.54	UniRef90_A0A173RXL4	Faecalibacterium_prausnitzii	aroF_G_H
A0A3E2UAH1	A0A3E2UAH1_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii	2.5.1.54	UniRef90_A0A173RXL4	Faecalibacterium_prausnitzii	aroF_G_H
A0A3E2W5E8	A0A3E2W5E8_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii	2.5.1.54	UniRef90_A0A173RXL4	Faecalibacterium_prausnitzii	aroF_G_H
A0A9E1GKX3	A0A9E1GKX3_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii	2.5.1.54	UniRef90_A0A173RXL4	Faecalibacterium_prausnitzii	aroF_G_H
A0A173RXL4	A0A173RXL4_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (Phospho-2-dehydro-3-deoxyheptonate aldolase)	Faecalibacterium prausnitzii	2.5.1.54	UniRef90_A0A173RXL4	Faecalibacterium_prausnitzii	aroF_G_H
A0A2A7AGD0	A0A2A7AGD0_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii	2.5.1.54	UniRef90_A0A173U152	Faecalibacterium_prausnitzii	aroF_G_H
A0A329TKR5	A0A329TKR5_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (Phospho-2-dehydro-3-deoxyheptonate aldolase)	Faecalibacterium prausnitzii	2.5.1.54	UniRef90_A0A173U152	Faecalibacterium_prausnitzii	aroF_G_H
A0A3E2TTW4	A0A3E2TTW4_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii	2.5.1.54	UniRef90_A0A173U152	Faecalibacterium_prausnitzii	aroF_G_H
A0A3E2XEA0	A0A3E2XEA0_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii	2.5.1.54	UniRef90_A0A173RXL4	Faecalibacterium_prausnitzii	aroF_G_H
A0A173U152	A0A173U152_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (Phospho-2-dehydro-3-deoxyheptonate aldolase)	Faecalibacterium prausnitzii	2.5.1.54	UniRef90_A0A173U152	Faecalibacterium_prausnitzii	aroF_G_H
A0A329TLC7	A0A329TLC7_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii	2.5.1.54	UniRef90_A0A173RXL4	Faecalibacterium_prausnitzii	aroF_G_H
A0A6A8KJ06	A0A6A8KJ06_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii	2.5.1.54	UniRef90_A0A173U152	Faecalibacterium_prausnitzii	aroF_G_H
A0A3E2TA07	A0A3E2TA07_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii	2.5.1.54	UniRef90_A0A173U152	Faecalibacterium_prausnitzii	aroF_G_H
D4K2V2	D4K2V2_9FIRM	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii L2-6	2.5.1.54	UniRef90_A0A173RXL4	Faecalibacterium_prausnitzii	aroF_G_H
A8S6N1	A8S6N1_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii M21/2	2.5.1.54	UniRef90_A0A173U152	Faecalibacterium_prausnitzii	aroF_G_H
A8S8E7	A8S8E7_9FIRM	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii M21/2	2.5.1.54	UniRef90_A0A173RXL4	Faecalibacterium_prausnitzii	aroF_G_H
D4K566	D4K566_9FIRM	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii SL3/3	2.5.1.54	UniRef90_A0A173RXL4	Faecalibacterium_prausnitzii	aroF_G_H
D4JXH1	D4JXH1_9FIRM	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii L2-6	2.5.1.54	UniRef90_A0A173U152	Faecalibacterium_prausnitzii	aroF_G_H
D4K978	D4K978_9FIRM	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (EC 2.5.1.54)	Faecalibacterium prausnitzii SL3/3	2.5.1.54	UniRef90_A0A173U152	Faecalibacterium_prausnitzii	aroF_G_H
C7H177	C7H177_FAED2	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium duncaniae (strain DSM 17677 / JCM 31915 / A2-165) (Faecalibacterium prausnitzii)	2.5.1.54	UniRef90_A0A173U152	Faecalibacterium_prausnitzii	aroF_G_H
C7H4Y2	C7H4Y2_FAED2	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Faecalibacterium duncaniae (strain DSM 17677 / JCM 31915 / A2-165) (Faecalibacterium prausnitzii)	2.5.1.54	UniRef90_A0A173RXL4	Faecalibacterium_prausnitzii	aroF_G_H
A0A3E2UCA4	A0A3E2UCA4_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A564T0W7	A0A564T0W7_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A943IY86	A0A943IY86_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A329TZU1	A0A329TZU1_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A329TLB8	A0A329TLB8_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A367GBR3	A0A367GBR3_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A2A7A1V7	Faecalibacterium_prausnitzii	aroB
A0A2A6ZD17	A0A2A6ZD17_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A2A7B8G4	A0A2A7B8G4_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A3E2TA12	A0A3E2TA12_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A329UPH7	A0A329UPH7_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A2A7ALS2	A0A2A7ALS2_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A2J4JKT1	A0A2J4JKT1_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A329TID1	A0A329TID1_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A329U5Q3	A0A329U5Q3_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A329UB25	A0A329UB25_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A3E2TU66	A0A3E2TU66_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A173U1I1	A0A173U1I1_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A2A7A1V7	A0A2A7A1V7_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A2A7A1V7	Faecalibacterium_prausnitzii	aroB
A0A2A7BHK9	A0A2A7BHK9_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A8S6N5	A8S6N5_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii M21/2	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
D4JXH5	D4JXH5_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii L2-6	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
D4K982	D4K982_9FIRM	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium prausnitzii SL3/3	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
C7H181	C7H181_FAED2	3-dehydroquinate synthase (EC 4.2.3.4)	Faecalibacterium duncaniae (strain DSM 17677 / JCM 31915 / A2-165) (Faecalibacterium prausnitzii)	4.2.3.4	UniRef90_A0A329TZU1	Faecalibacterium_prausnitzii	aroB
A0A2A7AYU8	A0A2A7AYU8_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_D4K6V2	Faecalibacterium_prausnitzii	aroD
A0A2A7BHK6	A0A2A7BHK6_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_A0A1C5R0P9	Faecalibacterium_prausnitzii	aroD
A0A3E2TA38	A0A3E2TA38_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_A0A1C5R0P9	Faecalibacterium_prausnitzii	aroD
A0A3E2V5Z7	A0A3E2V5Z7_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_A0A1C5R0P9	Faecalibacterium_prausnitzii	aroD
A0A564STV0	A0A564STV0_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_A0A564SZU5	Faecalibacterium_prausnitzii	aroD
A0A173UIT7	A0A173UIT7_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_D4K6V2	Faecalibacterium_prausnitzii	aroD
A0A291TA68	A0A291TA68_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_A0A2A7AGB1	Faecalibacterium_prausnitzii	aroD
A0A2A7A8F7	A0A2A7A8F7_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_D4K6V2	Faecalibacterium_prausnitzii	aroD
A0A2J4JM14	A0A2J4JM14_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_E2ZEX8	Faecalibacterium_prausnitzii	aroD
A0A329TLR8	A0A329TLR8_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_A0A329U9G0	Faecalibacterium_prausnitzii	aroD
A0A3E2U6U6	A0A3E2U6U6_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_D4K250	Faecalibacterium_prausnitzii	aroD
A0A3E2UKH3	A0A3E2UKH3_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_E2ZK00	Faecalibacterium_prausnitzii	aroD
A0A3E2W612	A0A3E2W612_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_D4K6V2	Faecalibacterium_prausnitzii	aroD
A0A564S9J9	A0A564S9J9_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_D4K250	Faecalibacterium_prausnitzii	aroD
A0A564SZU5	A0A564SZU5_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_A0A564SZU5	Faecalibacterium_prausnitzii	aroD
A0A2A6ZD22	A0A2A6ZD22_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_E2ZK00	Faecalibacterium_prausnitzii	aroD
A0A2A6ZDA1	A0A2A6ZDA1_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_E2ZEX8	Faecalibacterium_prausnitzii	aroD
A0A2A7A4B3	A0A2A7A4B3_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_D4K6V2	Faecalibacterium_prausnitzii	aroD
A0A2A7AGB1	A0A2A7AGB1_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_A0A2A7AGB1	Faecalibacterium_prausnitzii	aroD
A0A2A7ALM6	A0A2A7ALM6_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_A0A2A7ALM6	Faecalibacterium_prausnitzii	aroD
A0A2A7BHK2	A0A2A7BHK2_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_A0A2A7AGB1	Faecalibacterium_prausnitzii	aroD
A0A329U0Z3	A0A329U0Z3_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_A0A564SZU5	Faecalibacterium_prausnitzii	aroD
A0A3E2TTX4	A0A3E2TTX4_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_E2ZK00	Faecalibacterium_prausnitzii	aroD
A0A943IUK5	A0A943IUK5_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_D4K250	Faecalibacterium_prausnitzii	aroD
A0A9E1M1A1	A0A9E1M1A1_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Faecalibacterium prausnitzii	4.2.1.10	UniRef90_D4K250	Faecalibacterium_prausnitzii	aroD
A0A2A6ZBL6	A0A2A6ZBL6_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Faecalibacterium prausnitzii	1.1.1.25	UniRef90_A0A2A6ZBL6	Faecalibacterium_prausnitzii	aroE
