Entry	Entry Name	Protein names	Organism	EC number	UniRef90	Species
A0A6I1BW92	A0A6I1BW92_BIFLN	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0AAW4NIK9	A0AAW4NIK9_BIFLN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0AAW9C0P3	A0AAW9C0P3_BIFLN	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0AAX1LN57	A0AAX1LN57_BIFLI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. infantis	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A1S2W222	A0A1S2W222_BIFLN	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. suis	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A4R0SQJ4	A0A4R0SQJ4_BIFLL	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. longum	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A4V2NBG2	A0A4V2NBG2_BIFLL	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. longum	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A087BP42	A0A087BP42_BIFLN	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. suis	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A7L9UPN0	A0A7L9UPN0_BIFLL	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. longum	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A8U0LMM7	A0A8U0LMM7_BIFLI	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. infantis	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A9Q8VIZ8	A0A9Q8VIZ8_BIFLL	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. longum	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0AAV3FI09	A0AAV3FI09_BIFLL	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. longum 2-2B	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
D6ZY24	D6ZY24_BIFLJ	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. longum (strain JDM301)	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0AA87IE80	A0AA87IE80_BIFLL	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. longum 1-6B	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
C5E8E0	C5E8E0_BIFLI	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. infantis CCUG 52486	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A2N0TL47	A0A2N0TL47_BIFLN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A2U2RRM5	A0A2U2RRM5_BIFLN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A6I1BVG4	A0A6I1BVG4_BIFLN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0AAW9BZW5	A0AAW9BZW5_BIFLN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A3E4S7Q1	A0A3E4S7Q1_BIFLN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A7U4KDF1	A0A7U4KDF1_BIFLN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0AAW4NP60	A0AAW4NP60_BIFLN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A0A1GMD8	A0A0A1GMD8_BIFLN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A395XXH8	A0A395XXH8_BIFLN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A6N2RLW2	A0A6N2RLW2_BIFLN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A087B1I7	A0A087B1I7_BIFLL	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A564RWY5	A0A564RWY5_BIFLI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. infantis	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A564VKP6	A0A564VKP6_BIFLI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. infantis	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0AB38INY5	A0AB38INY5_BIFLL	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A087BP43	A0A087BP43_BIFLN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. suis	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A0M3T5Z8	A0A0M3T5Z8_BIFLI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. infantis	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A7D5C6F7	A0A7D5C6F7_BIFLI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. infantis	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A1S2W1W9	A0A1S2W1W9_BIFLN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. suis	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A4S5B5H1	A0A4S5B5H1_BIFLI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. infantis	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
B3DTQ5	B3DTQ5_BIFLD	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum (strain DJO10A)	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A7L9UQ20	A0A7L9UQ20_BIFLL	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A8U0KUH7	A0A8U0KUH7_BIFLI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. infantis	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0A9Q8VIC8	A0A9Q8VIC8_BIFLL	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. longum	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
A0AAX1LN48	A0AAX1LN48_BIFLI	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum subsp. infantis	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
Q8G7E6	Q8G7E6_BIFLO	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium longum (strain NCC 2705)	2.5.1.54	UniRef90_Q8G7E6	Bifidobacterium_longum
Q8G5X4	AROKB_BIFLO	Bifunctional shikimate kinase/3-dehydroquinate synthase [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (EC 4.2.3.4)]	Bifidobacterium longum (strain NCC 2705)	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A7U4H5I6	A0A7U4H5I6_BIFLN	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0AAW4NFX8	A0AAW4NFX8_BIFLN	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0AAW9C1M1	A0AAW9C1M1_BIFLN	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A0A1GR12	A0A0A1GR12_BIFLN	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A2N0T257	A0A2N0T257_BIFLN	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A2U2RTL3	A0A2U2RTL3_BIFLN	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A2N0TJW0	A0A2N0TJW0_BIFLN	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A6A2SS33	A0A6A2SS33_BIFLN	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A087BG30	A0A087BG30_BIFLN	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. suis	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A4R0VPI4	A0A4R0VPI4_BIFLL	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A564S1B3	A0A564S1B3_BIFLI	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. infantis	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A8U0L2Q6	A0A8U0L2Q6_BIFLI	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. infantis	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A4V2N0I5	A0A4V2N0I5_BIFLL	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A0M0VNG4	A0A0M0VNG4_BIFLL	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A0M5KXH2	A0A0M5KXH2_BIFLI	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. infantis	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A1S2VW81	A0A1S2VW81_BIFLN	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. suis	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A4R0U2J6	A0A4R0U2J6_BIFLL	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A4R0URV8	A0A4R0URV8_BIFLL	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A4V2NE12	A0A4V2NE12_BIFLL	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A564VXV6	A0A564VXV6_BIFLI	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. infantis	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A9Q8QRK0	A0A9Q8QRK0_BIFLL	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A0A6VLL2	A0A0A6VLL2_BIFLL	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. longum	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A4S5BDG3	A0A4S5BDG3_BIFLI	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. infantis	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A7D5BYN7	A0A7D5BYN7_BIFLI	Multifunctional fusion protein [Includes: Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)]	Bifidobacterium longum subsp. infantis	2.7.1.71; 4.2.3.4	UniRef90_Q8G5X4	Bifidobacterium_longum
A0A0A1GNG0	A0A0A1GNG0_BIFLN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_longum
A0A1D7MTJ7	A0A1D7MTJ7_BIFLN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_longum
A0A2N0T258	A0A2N0T258_BIFLN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_longum
A0AAW9CHE1	A0AAW9CHE1_BIFLN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_longum
A0A0M0VMH5	A0A0M0VMH5_BIFLL	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. longum	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_longum
A0A1S2VW61	A0A1S2VW61_BIFLN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. suis	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_longum
A0A4R0U2M7	A0A4R0U2M7_BIFLL	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. longum	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_longum
B3DSD7	B3DSD7_BIFLD	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum (strain DJO10A)	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_longum
A0A8U0LG08	A0A8U0LG08_BIFLI	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. infantis	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_longum
Q8G5X5	Q8G5X5_BIFLO	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum (strain NCC 2705)	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_longum
A0AA87IIH9	A0AA87IIH9_BIFLL	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. longum 1-6B	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_longum
A0AAV3FMD7	A0AAV3FMD7_BIFLL	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. longum 2-2B	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_longum
C5EAP0	C5EAP0_BIFLI	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. infantis CCUG 52486	4.2.1.10	UniRef90_Q8G5X5	Bifidobacterium_longum
A0A395XYD1	A0A395XYD1_BIFLN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum	4.2.1.10	UniRef90_A0A0A6VGV7	Bifidobacterium_longum
A0A2N0TJZ4	A0A2N0TJZ4_BIFLN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum	4.2.1.10	UniRef90_A0A0A6VGV7	Bifidobacterium_longum
A0A7U4H5I1	A0A7U4H5I1_BIFLN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum	4.2.1.10	UniRef90_A0A0A6VGV7	Bifidobacterium_longum
A0A564VVG4	A0A564VVG4_BIFLI	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. infantis	4.2.1.10	UniRef90_A0A0A6VGV7	Bifidobacterium_longum
A0A564S012	A0A564S012_BIFLI	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. infantis	4.2.1.10	UniRef90_A0A0A6VGV7	Bifidobacterium_longum
A0A0A8N6B7	A0A0A8N6B7_BIFLI	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. infantis	4.2.1.10	UniRef90_A0A0A6VGV7	Bifidobacterium_longum
A0A7L9UHW5	A0A7L9UHW5_BIFLL	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. longum	4.2.1.10	UniRef90_A0A0A6VGV7	Bifidobacterium_longum
A0A087BG31	A0A087BG31_BIFLN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. suis	4.2.1.10	UniRef90_A0A0A6VGV7	Bifidobacterium_longum
A0A9Q8QV40	A0A9Q8QV40_BIFLL	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. longum	4.2.1.10	UniRef90_A0A0A6VGV7	Bifidobacterium_longum
A0A0A6VGV7	A0A0A6VGV7_BIFLL	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Bifidobacterium longum subsp. longum	4.2.1.10	UniRef90_A0A0A6VGV7	Bifidobacterium_longum
